央视高清,#genre#
CCTV央视台球,http://121.29.215.203:7777/rtp/239.253.93.231:6409
CCTV央视台球,http://121.29.215.203:8888/rtp/239.253.93.231:6409
CCTV兵器科技,http://121.29.133.109:8888/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.138:7777/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.138:8888/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.227:7777/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.227:8888/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.26:7777/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.169.26:8888/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.215.203:7777/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.29.215.203:8888/rtp/239.253.93.47:6435
CCTV世界地理,http://121.29.169.138:7777/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.169.138:8888/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.169.227:7777/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.169.227:8888/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.169.26:7777/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.169.26:8888/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.215.203:7777/rtp/239.253.92.131:6113
CCTV世界地理,http://121.29.215.203:8888/rtp/239.253.92.131:6113
CCTV女性时尚,http://121.29.169.138:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.138:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.227:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.227:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.26:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.169.26:8888/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.215.203:7777/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.29.215.203:8888/rtp/239.253.92.144:6114
卫视高清,#genre#
湖南卫视,http://121.29.169.138:7777/rtp/239.253.92.84:8015
湖南卫视,http://121.29.169.138:8888/rtp/239.253.92.84:8015
湖南卫视,http://121.29.169.227:7777/rtp/239.253.92.84:8015
湖南卫视,http://121.29.169.227:8888/rtp/239.253.92.84:8015
湖南卫视,http://121.29.169.26:7777/rtp/239.253.92.84:8015
湖南卫视,http://121.29.169.26:8888/rtp/239.253.92.84:8015
湖南卫视,http://121.29.215.203:7777/rtp/239.253.92.84:8015
湖南卫视,http://121.29.215.203:8888/rtp/239.253.92.84:8015
浙江卫视,http://121.29.169.138:7777/rtp/239.253.92.90:8020
浙江卫视,http://121.29.169.138:8888/rtp/239.253.92.90:8020
浙江卫视,http://121.29.169.227:7777/rtp/239.253.92.90:8020
浙江卫视,http://121.29.169.227:8888/rtp/239.253.92.90:8020
浙江卫视,http://121.29.169.26:7777/rtp/239.253.92.90:8020
浙江卫视,http://121.29.169.26:8888/rtp/239.253.92.90:8020
浙江卫视,http://121.29.215.203:7777/rtp/239.253.92.90:8020
浙江卫视,http://121.29.215.203:8888/rtp/239.253.92.90:8020
江苏卫视,http://121.29.169.138:7777/rtp/239.253.92.88:8018
江苏卫视,http://121.29.169.138:8888/rtp/239.253.92.88:8018
江苏卫视,http://121.29.169.227:7777/rtp/239.253.92.88:8018
江苏卫视,http://121.29.169.227:8888/rtp/239.253.92.88:8018
江苏卫视,http://121.29.169.26:7777/rtp/239.253.92.88:8018
江苏卫视,http://121.29.169.26:8888/rtp/239.253.92.88:8018
江苏卫视,http://121.29.215.203:7777/rtp/239.253.92.88:8018
江苏卫视,http://121.29.215.203:8888/rtp/239.253.92.88:8018
北京卫视,http://121.29.169.138:7777/rtp/239.253.92.87:8014
北京卫视,http://121.29.169.138:8888/rtp/239.253.92.87:8014
北京卫视,http://121.29.169.227:7777/rtp/239.253.92.87:8014
北京卫视,http://121.29.169.227:8888/rtp/239.253.92.87:8014
北京卫视,http://121.29.169.26:7777/rtp/239.253.92.87:8014
北京卫视,http://121.29.169.26:8888/rtp/239.253.92.87:8014
北京卫视,http://121.29.215.203:7777/rtp/239.253.92.87:8014
北京卫视,http://121.29.215.203:8888/rtp/239.253.92.87:8014
东南卫视,http://121.29.169.138:7777/rtp/239.253.92.201:6146
东南卫视,http://121.29.169.138:8888/rtp/239.253.92.201:6146
东南卫视,http://121.29.169.227:7777/rtp/239.253.92.201:6146
东南卫视,http://121.29.169.227:8888/rtp/239.253.92.201:6146
东南卫视,http://121.29.169.26:7777/rtp/239.253.92.201:6146
东南卫视,http://121.29.169.26:8888/rtp/239.253.92.201:6146
东南卫视,http://121.29.215.203:7777/rtp/239.253.92.201:6146
东南卫视,http://121.29.215.203:8888/rtp/239.253.92.201:6146
东方卫视,http://121.29.169.138:7777/rtp/239.253.92.89:8019
东方卫视,http://121.29.169.138:8888/rtp/239.253.92.89:8019
东方卫视,http://121.29.169.227:7777/rtp/239.253.92.89:8019
东方卫视,http://121.29.169.227:8888/rtp/239.253.92.89:8019
东方卫视,http://121.29.169.26:7777/rtp/239.253.92.89:8019
东方卫视,http://121.29.169.26:8888/rtp/239.253.92.89:8019
东方卫视,http://121.29.215.203:7777/rtp/239.253.92.89:8019
东方卫视,http://121.29.215.203:8888/rtp/239.253.92.89:8019
天津卫视,http://121.29.169.138:7777/rtp/239.253.92.91:8021
天津卫视,http://121.29.169.138:8888/rtp/239.253.92.91:8021
天津卫视,http://121.29.169.227:7777/rtp/239.253.92.91:8021
天津卫视,http://121.29.169.227:8888/rtp/239.253.92.91:8021
天津卫视,http://121.29.169.26:7777/rtp/239.253.92.91:8021
天津卫视,http://121.29.169.26:8888/rtp/239.253.92.91:8021
天津卫视,http://121.29.215.203:7777/rtp/239.253.92.91:8021
天津卫视,http://121.29.215.203:8888/rtp/239.253.92.91:8021
深圳卫视,http://121.29.169.138:7777/rtp/239.253.92.86:8017
深圳卫视,http://121.29.169.138:8888/rtp/239.253.92.86:8017
深圳卫视,http://121.29.169.227:7777/rtp/239.253.92.86:8017
深圳卫视,http://121.29.169.227:8888/rtp/239.253.92.86:8017
深圳卫视,http://121.29.169.26:7777/rtp/239.253.92.86:8017
深圳卫视,http://121.29.169.26:8888/rtp/239.253.92.86:8017
深圳卫视,http://121.29.215.203:7777/rtp/239.253.92.86:8017
深圳卫视,http://121.29.215.203:8888/rtp/239.253.92.86:8017
山东卫视,http://121.29.169.138:7777/rtp/239.253.92.207:8109
山东卫视,http://121.29.169.138:8888/rtp/239.253.92.207:8109
山东卫视,http://121.29.169.227:7777/rtp/239.253.92.207:8109
山东卫视,http://121.29.169.227:8888/rtp/239.253.92.207:8109
山东卫视,http://121.29.169.26:7777/rtp/239.253.92.207:8109
山东卫视,http://121.29.169.26:8888/rtp/239.253.92.207:8109
山东卫视,http://121.29.215.203:7777/rtp/239.253.92.207:8109
山东卫视,http://121.29.215.203:8888/rtp/239.253.92.207:8109
广东卫视,http://121.29.169.138:7777/rtp/239.253.92.206:8108
广东卫视,http://121.29.169.138:8888/rtp/239.253.92.206:8108
广东卫视,http://121.29.169.227:7777/rtp/239.253.92.206:8108
